notation	description	uri
AL	Hochschul- und Universitätswesen	https://th-wildau.de/rvk-short/AL
AL 10000 - AL 11950	Bibliografien, Sammelschriften	https://th-wildau.de/rvk-short/AL10000-AL11950
AL 12000 - AL 12900	Organisationsformen, Körperschaften	https://th-wildau.de/rvk-short/AL12000-AL12900
AL 13000 - AL 13950	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AL13000-AL13950
AL 14000 - AL 16990	Geschichte, Matrikel	https://th-wildau.de/rvk-short/AL14000-AL16990
AL 17000 - AL 17900	Hochschule	https://th-wildau.de/rvk-short/AL17000-AL17900
AL 18000 - AL 18300	Hochschulpolitik	https://th-wildau.de/rvk-short/AL18000-AL18300
AL 19000 - AL 19950	Hochschulplanung	https://th-wildau.de/rvk-short/AL19000-AL19950
AL 20000 - AL 21100	Beziehungen, Ausstrahlungen, Einflüsse	https://th-wildau.de/rvk-short/AL20000-AL21100
AL 21400 - AL 22500	Hochschulverfassung, Hochschulrecht	https://th-wildau.de/rvk-short/AL21400-AL22500
AL 23000 - AL 23800	Akademische Selbstverwaltung	https://th-wildau.de/rvk-short/AL23000-AL23800
AL 24000 - AL 25900	Hochschulverwaltung, Hochschulmanagement	https://th-wildau.de/rvk-short/AL24000-AL25900
AL 26000 - AL 26900	Gebäude	https://th-wildau.de/rvk-short/AL26000-AL26900
AL 27000 - AL 27800	Ausstattung, Lehrmittel	https://th-wildau.de/rvk-short/AL27000-AL27800
AL 28000 - AL 29950	Hochschularten	https://th-wildau.de/rvk-short/AL28000-AL29950
AL 30000 - AL 31500	Hochschulgliederung	https://th-wildau.de/rvk-short/AL30000-AL31500
AL 31600 - AL 32950	Lehrkörper	https://th-wildau.de/rvk-short/AL31600-AL32950
AL 33000 - AL 33900	Hochschulforschung	https://th-wildau.de/rvk-short/AL33000-AL33900
AL 34000 - AL 34700	Hochschulunterricht, Hochschuldidaktik	https://th-wildau.de/rvk-short/AL34000-AL34700
AL 35000 - AL 39600	Studienpläne, Studienordnung, Studienorganisation	https://th-wildau.de/rvk-short/AL35000-AL39600
AL 40000 - AL 40800	Studium	https://th-wildau.de/rvk-short/AL40000-AL40800
AL 41000 - AL 42300	Studium einzelner Fachrichtungen	https://th-wildau.de/rvk-short/AL41000-AL42300
AL 43000 - AL 43960	Studienverlauf, -abschluss, Akademische Grade	https://th-wildau.de/rvk-short/AL43000-AL43960
AL 45000 - AL 45900	Studentenwesen, allgemein	https://th-wildau.de/rvk-short/AL45000-AL45900
AL 46000 - AL 46950	Studentenschaft	https://th-wildau.de/rvk-short/AL46000-AL46950
AL 47000 - AL 48450	Soziales und Freizeit	https://th-wildau.de/rvk-short/AL47000-AL48450
AL 48500 - AL 49400	Studentische Vereinigungen	https://th-wildau.de/rvk-short/AL48500-AL49400
AL 49500 - AL 49700	Studentisches Brauchtum	https://th-wildau.de/rvk-short/AL49500-AL49700
AL 50000 - AL 99500	Hochschulwesen einzelner Länder und einzelne Hochschulen	https://th-wildau.de/rvk-short/AL50000-AL99500
AM	Schrift und Handschriftenkunde. Schriftarten und Schreiben	https://th-wildau.de/rvk-short/AM
AM 10000 - AM 11950	Bibliografien, Sammelschriften	https://th-wildau.de/rvk-short/AM10000-AM11950
AM 12000 - AM 12700	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AM12000-AM12700
AM 13000 - AM 13800	Geschichte und Forschung	https://th-wildau.de/rvk-short/AM13000-AM13800
AM 14000 - AM 15000	Begriffs-, Wort- und Silbenschriften	https://th-wildau.de/rvk-short/AM14000-AM15000
AM 16000 - AM 17800	Orientalische Buchstabenschriften und Paläografie	https://th-wildau.de/rvk-short/AM16000-AM17800
AM 18000 - AM 21900	Abendländische Schriften	https://th-wildau.de/rvk-short/AM18000-AM21900
AM 22000 - AM 22800	Schönschrift, Schriftkunst	https://th-wildau.de/rvk-short/AM22000-AM22800
AM 23000 - AM 23900	Druckschriften	https://th-wildau.de/rvk-short/AM23000-AM23900
AM 24000 - AM 25400	Schreibmaschinenschrift	https://th-wildau.de/rvk-short/AM24000-AM25400
AM 26000 - AM 27500	Kurzschrift	https://th-wildau.de/rvk-short/AM26000-AM27500
AM 28000 - AM 28700	Spezialschriften	https://th-wildau.de/rvk-short/AM28000-AM28700
AM 29000 - AM 29400	Ziffernsysteme	https://th-wildau.de/rvk-short/AM29000-AM29400
AM 29500 - AM 29900	Zeichensysteme	https://th-wildau.de/rvk-short/AM29500-AM29900
AM 30000 - AM 34200	Schreibgerät, Beschreibstoffe	https://th-wildau.de/rvk-short/AM30000-AM34200
AM 40000 - AM 97400	Handschriftenkunde	https://th-wildau.de/rvk-short/AM40000-AM97400
AN	Buch- und Bibliothekswesen, Informationswissenschaft	https://th-wildau.de/rvk-short/AN
AN 10000 - AN 12600	Bibliografien, Sammelschriften	https://th-wildau.de/rvk-short/AN10000-AN12600
AN 13000 - AN 13600	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AN13000-AN13600
AN 14000 - AN 49600	Buchwesen	https://th-wildau.de/rvk-short/AN14000-AN49600
AN 50000 - AN 89900	Bibliothekswesen	https://th-wildau.de/rvk-short/AN50000-AN89900
AN 90000 - AN 99990	Informationswissenschaft	https://th-wildau.de/rvk-short/AN90000-AN99990
AP	Medien- und Kommunikationswissenschaften, Kommunikationsdesign	https://th-wildau.de/rvk-short/AP
AP 10000 - AP 11850	Bibliografien und Sammelschriften	https://th-wildau.de/rvk-short/AP10000-AP11850
AP 12000 - AP 12400	Organisationsform, Forschung	https://th-wildau.de/rvk-short/AP12000-AP12400
