notation	description
BG 6670 - BG 7870	Offenbarung
BG 8000 - BG 8830	Überlieferung und Tradition
BG 9000 - BG 9019	Konfessionskunde, Symbolik
BG 9020 - BG 9790	Kirche und Kirchen
BG 9800 - BG 9990	Ökumenische Bewegung
BH	Evangelische Dogmatik
BH 1000 - BH 2890	Allgemeines
BH 3000 - BH 8300	Spezielle Dogmatik
BK	Theologische Ethik/Moraltheologie
BK 1000 - BK 1200	Allgemeines
BK 1250 - BK 1458	Gesamtdarstellungen
BK 1460 - BK 1470	Gegenwartsprobleme der Moraltheologie
BK 1500 - BK 1520	Einführung in die Moraltheologie/Theologische Ethik
BK 1540 - BK 1550	Moralphilosophie/Philosophische Ethik
BK 1570	Metaethik
BK 1580	Ethik und Ethos
BK 1600 - BK 1950	Sammelwerke
BK 2000 - BK 2400	Allgemeine Moraltheologie/Ethische Grundbegriffe
BK 2500 - BK 8300	Spezielle Moraltheologie/Spezielle Ethik
BL	Christliche Gesellschaftslehre
BL 1000 - BL 1440	Allgemeines
BL 1500 - BL 1790	Sammelwerke
BL 1830 - BL 1890	Quellen
BL 1900	Statistik
BL 2020 - BL 2660	Geschichte der christlichen Gesellschaftslehre
BL 2800 - BL 2980	Gegenwartsfragen
BL 3000 - BL 3370	Grundfragen der christlichen Gesellschaftslehre
BL 3400 - BL 3530	Die Soziale Frage
BL 4000 - BL 4880	Sozialtheorien und Sozialsysteme
BL 5000 - BL 5160	Kirche und soziale Ordnung
BL 5200 - BL 5460	Formen und Strukturen der Gesellschaft
BL 5500	Sozialpolitik
BL 5600	Beruf
BL 5700	Freizeitgestaltung
BL 5800 - BL 5885	Interessen- und Konkurrenzgemeinschaften
BL 5900 - BL 5985	Christlich-soziale Bewegung
BL 6000 - BL 6215	Staat
BL 6220 - BL 6300	Grundrechte, Menschenrechte
BL 6420 - BL 6680	Parteiwesen
BL 7000 - BL 7650	Politik
BL 7650	Politische Bildung
BL 7700	Völkergemeinschaft (z.B. UNO)
BL 7750	Entwicklungshilfe
BL 8000 - BL 8940	Wirtschaft
BL 9000 - BL 9540	Kultur und Bildung
BL 9600 - BL 9700	Gesellschaftsformende, kulturelle Faktoren
BL 9900 - BL 9980	Friedensforschung und Konfliktforschung
BM	Theologie des geistlichen Lebens
BM 1000 - BM 1060	Allgemeines
BM 1100 - BM 1155	Gesamtdarstellungen
BM 1160 - BM 1190	Methodologie
BM 1200 - BM 1280	Geschichtliche Darstellungen zur geistlichen Theologie
BM 1400 - BM 1490	Darstellungen zur geistlichen Theologie nach Ländern
BM 1500 - BM 1810	Literarische Gattungen geistlicher Literatur
BM 1905 - BM 1980	Sprachwissenschaftliche Untersuchungen
BM 2000 - BM 7990	Quellen zur Theologie des geistlichen Lebens
BM 8000 - BM 9550	Systematische Darstellungen zur Theologie des geistlichen Lebens
BN	Dogmatik und Dogmengeschichte
BN 1000 - BN 1450	Allgemeines
BN 1500 - BN 1530	Quellen
BN 1600 - BN 1655	Gesamtdarstellungen
BN 1700 - BN 1740	Sammelwerke (soweit nicht bei BB)
BN 1900 - BN 1945	Einleitung in die Dogmatik
BN 2000 - BN 2055	Dogmengeschichtliche Darstellungen
BN 2120 - BN 2999	Autoren
BN 3000 - BN 9300	Spezielle Dogmatik
BO	Patrologie und Kirchengeschichte
BO 1000 - BO 1140	Nachschlagewerke
BO 1150 - BO 1205	Quellenkunde und Quellensammlungen
BO 1210 - BO 1269	Hand- und Lehrbücher sowie Gesamtdarstellungen
BO 1270 - BO 1305	Studium der Kirchengeschichte und Historiographie
BO 1320 - BO 1355	Sammelwerke
BO 1360 - BO 1510	Historische Hilfswissenschaften
BO 1520 - BO 1520	Schriftenreihen
BO 1600 - BO 1995	Kirchengeschichte nach Sachgebieten
BO 2000 - BO 7050	Kirchengeschichte nach Perioden
BO 9000 - BO 9730	Christliche Archäologie und Kunstgeschichte
BP	Evangelische Kirchengeschichte
BP 1000	Allgemeine Geschichte des Protestantismus
BP 1100 - BP 1800	Allgemeine Geschichte des Protestantismus außerhalb Deutschlands
BP 2000 - BP 5700	Evangelische Kirchengeschichte Deutschlands
BP 5800 - BP 5830	Evangelische Kirchengeschichte Österreichs
BP 6000 - BP 6350	Territorialkirchengeschichte
BP 6500 - BP 6750	Geschichte protestantischer Glaubensbewegungen
