notation	description
PY 390 - PY 440	Quellen- und Literaturgeschichte sowie historische Hilfswissenschaften, Theologie)
PY 450 - PY 497	Allgemeine Literatur zum Kirchenrecht und zur Geschichte des Kirchenrechts
PY 500 - PY 895	Geschichte der Institutionen des Kirchenrechts
PY 910 - PY 990	Staat und Kirche
PZ	Datenverarbeitung und Recht
PZ 1000 - PZ 1500	Allgemeines
PZ 2000 - PZ 2800	Rechtsinformatik, Datenverarbeitung für Juristen
PZ 3000 - PZ 3800	Computerrecht, EDV-Recht, Recht des Internet
PZ 4000 - PZ 4910.4700	Datenschutz (BF Datenschutzrecht), Datensicherung (BF Datensicherheit; Sicherheit / Datenverarbeitung)
PZ 5000 - PZ 5400	Anwendung der DV in Regierung und Gesetzgebung, Verwaltung und Justiz
Q	Wirtschaftswissenschaften
QA 10000	Zeitschriften
QB	Allgemeines. Methoden der Wirtschaftswissenschaften. Unterrichts- und Ausbildungsmethoden in den Wirtschaftswissenschaften, Wirtschaftspädagogik
QB 000 - QB 200	Allgemeines
QB 300 - QB 341	Unterrichts- und Ausbildungsmethoden
QB 400	Wirtschaftswissenschaftliche Forschung. Arbeitsgebiete einzelner Hochschulen, Institute, Behörden und dgl. Wirtschaftswissenschaftliche Gesellschaften Wirtschaftsinformationsdienst
QB 800	Bibliografien und Verzeichnisse wirtschaftswissenschaftlicher Datenbanken
QB 900 - QB 930	Wirtschaftswissenschaftliche Enzyklopädien und Sammelwerke
QC	Wirtschaftstheorie, einschließlich Geldtheorie
QC 000	Allgemeines
QC 010	Mensch und Wirtschaft. Wirtschaftliches Verhalten. Motivation. Wirtschaftsethik
QC 020	Unsicherheit und Erwartungen. Entscheidungsprozess bei unsicheren Erwartungen
QC 040	Statik und Dynamik
QC 070 - QC 072	Gesamtdarstellungen
QC 100 - QC 347	Wert-, Preis- und Allokationstheorie
QD	Allgemeine Wirtschaftspolitik. Wirtschaftssysteme
QD 000 - QD 050	Allgemeine Wirtschaftspolitik
QD 100 - QD 140	Wirtschaftssysteme
QD 200	Planungsprobleme
QD 250	Futurologie
QE	Geschichte der Lehrmeinungen
QE 000	Allgemeines
QE 050	Geschichte der Betriebswirtschaftslehre
QE 060	Geschichte der Statistik
QE 100	Altertum, Mittelalter
QE 200	Vorklassische Zeit (Merkantilisten, Physiokraten und andere)
QE 300	Klassische Schule
QE 400	Österreichische, Lausanner, Neoklassische (einschließlich Marshall'sche) Schule
QE 500	Sozialistische Schulen
QE 600	Historische Schule. Sozialrechtliche Schule. Institutionalismus. Universalismus
QE 700	Andere Gruppen seit 1800 (Schwedische Schule u.a.)
QE 800	Einzelne Wissenschaftler (einschließlich biografisches Material)
QF	Wirtschafts- und Sozialgeschichte
QF 000	Allgemeines
QF 010 - QF 052	Europa
QF 060 - QF 063	Amerika
QF 070 - QF 074	Afrika
QF 080 - QF 087	Asien
QF 090	Australien, Neuseeland, Polynesien
QF 100	Altertum (bis 500 nach Christus)
QF 200	Mittelalter (500-1300)
QF 300	Spätmittelalter und Frühe Neuzeit (1300-1550)
QF 400 - QF 452	Zeitalter des Merkantilismus (1550-1750)
QF 500 - QF 590	Industrielle Revolution (1750-1914)
QF 600 - QF 690	Weltkriegszeit und Zeit des Ost-West-Konflikts (1914 bis 1989)
QF 700 - QF 790	Wirtschaftliche und soziale Zeitgeschichte (ab 1990)
QG	Wirtschaftskunde und Allgemeines. Länderstatistisches und regionalstatistisches Material. Wirtschaftspolitik (einschließlich Stellungnahmen dazu) in einzelnen Ländern
QG 000	Allgemeines
QG 010	Industrieländer
QG 020	Entwicklungsländer
QG 100 - QG 520	Europa
QG 600 - QG 630	Amerika
QG 700 - QG 740	Afrika
QG 800 - QG 870	Asien
QG 900	Australien, Neuseeland, Polynesien
QH	Mathematik. Statistik. Ökonometrie. Unternehmensforschung
QH 000	Allgemeines
QH 100 - QH 170	Mathematik
QH 200 - QH 254	Statistik
QH 300 - QH 330	Ökonometrie (einschließlich Logit-, Probit- und Tobitmodellen, d. h. Modellen mit qualitativen und begrenzt abhängigen Variablen [limited dependent variables])
QH 400 - QH 499	Operations Research
QH 500 - QH 740	Wirtschaftsinformatik. Datenverarbeitung.
QI	Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material
QI 000	Allgemeines
QI 100	Historisches statistisches Material
QI 200 - QI 400	Volkseinkommen und -vermögen
QI 500 - QI 550	Sonstiges statistisches Material
QK	Geld, Kredit- und Bankwesen. Bankbetriebslehre
QK 000	Allgemeines
QK 010	Bank-, Geld- und Kreditwesen einzelner Länder
QK 100	Geschichte
QK 200 - QK 240	Geld, Währung, Währungsstandards
QK 300 - QK 380	Bankbetriebslehre
QK 400 - QK 490	Geschäftsbanken. Sparkassen. Kreditgenossenschaften. Spezialbanken
QK 500 - QK 570	Kapitalsammelstellen des Nichtbankenbereichs
QK 600 - QK 660	Geld- und Kapitalmärkte. Börsen. Zinsentwicklung
QK 700 - QK 710	Preise. Inflation. Deflation
QK 800 - QK 820	Kapitalanlage, Portfolio-Analyse
QK 900 - QK 950	Geld- und Kreditpolitik, Zentralbanken
QL	Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre
QL 000	Allgemeines
QL 010	Haushaltsaufstellung, -verwaltung und -kontrolle
QL 020	Finanzwirtschaft untergeordneter Gebietskörperschaften
QL 030	Finanzausgleich
QL 040	Finanzwirtschaft supranationaler Behörden
QL 050	Parafiskus. Kirchenfinanzen
QL 100	Geschichte
QL 200 - QL 300	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
QL 400 - QL 710	Allgemeine Steuerlehre, Steuersystem einzelner Länder
QL 800 - QL 840	Betriebswirtschaftliche Steuerlehre
QM	Internationaler Handel. Zahlungsbilanz und Wechselkurse
QM 000	Allgemeines (reale und monetäre Aspekte)
QM 100	Geschichte
QM 200 - QM 250	Struktur des internationalen Handels
QM 300 - QM 520	Zahlungsbilanz. Anpassungsmechanismus. Wechselkurs. Internationale Währungsordnung (überwiegend monetäre Aspekte)
QN	Konjunkturschwankungen, Stabilitätspolitik
QN 000	Allgemeines
QN 100	Geschichte
QN 200	Konjunkturschwankungen. Konjunkturprognosen
QN 300 - QN 320	Stabilitätspolitik
QO	Verteidigungsplanung. Kriegswirtschaft
QO 000 - QO 450	Kriegswirtschaft
QO 510 - QO 620	Kriegswirtschaft und -politik in einzelnen Ländern
QO 700	Abrüstung und Rüstungskonversion
QP	Allgemeine Betriebswirtschaftslehre
QP 000	Betriebswirtschaftliche Nachschlagewerke
QP 010	Bibliografien
QP 020	Lexika. Handbücher. Sammelwerke
QP 100 - QP 160	Gegenstand, Methoden und Gesamtdarstellungen
QP 200 - QP 240	Forschung. Rationalisierung und Wachstum des Unternehmens
QP 300 - QP 390	Unternehmensführung
QP 410 - QP 890	Aufbauelemente des Unternehmens
QQ	Spezielle Betriebswirtschaftslehren
QQ 000	Allgemeines
QQ 200	Industriebetriebslehre
QQ 230	Industrielle Dienstleistungen
QQ 250	Dienstleistungsbetrieb / Management
QQ 300	Handwerksbetriebslehre
QQ 400 - QQ 460	Handelsbetriebslehre
QQ 510 - QQ 570	Revisions- und Treuhandwesen
QQ 600 - QQ 675	Versicherungsbetriebslehre
QQ 700	Genossenschaftsbetriebslehre
QQ 790	Sharing Economy, Verleihbetrieb
QQ 800	Verkehrsbetriebslehre
QQ 900 - QQ 964	Tourismus und -Freizeitwirtschaft
QQ 975 - QQ 980	Sportwirtschaft
QR	Gewerbepolitik. Einzelne Wirtschaftszweige
QR 000	Allgemeines
QR 100	Geschichte
QR 200	Marktstruktur und -verhalten
QR 300 - QR 470	Wettbewerbs- und Monopolpolitik
QR 500 - QR 870	Industrie, Bergbau, Handel, Dienstleistungen, Handwerk
QS	Landwirtschaft
QS 000	Allgemeines
QS 100	Geschichte
QS 200	Agrarmarktstudien
QS 300	Landwirtschaftliche Erwerbspersonen
QS 400	Landwirtschaftliche Betriebslehre
QS 600	Unternehmensformen in der Landwirtschaft (u. a. Landwirtschaftsgenossenschaften)
QS 700	Agrarpolitik
QS 800	Ernährung
QT	Umweltökonomie
QT 000	Allgemeines
QT 200	Erhaltungsmaßnahmen
QT 300 - QT 395	Bodeneigentum, Bodenerhaltung, Bodenmarkt, Immobilienwirtschaft
QT 400	Forsten
QT 500	Fischerei, Meereswirtschaft
QT 600	Wasserreserven
QT 700	Mineralien
QT 800	Luft
QT 900	Ruhe. Lärmbekämpfung
QU	Demographie
QU 000	Allgemeines
QU 100	Geschichte
QU 200	Bevölkerungspolitik
QU 300	Größe und Zusammensetzung der Bevölkerung. Bevölkerungszählungen
QU 400	Geographische Verteilung. Wanderung
QV	Arbeitnehmerfragen (Labor Economics)
QV 000	Allgemeines
QV 020	Soziologische Aspekte des Arbeitnehmers
QV 100	Geschichte
QV 200 - QV 202	Arbeitsangebot. Arbeitsmarkt
QV 220 - QV 240	Zusammensetzung der Arbeiterschaft
QV 300 - QV 350	Löhne und Arbeitszeit
QV 400 - QV 410	Gewerkschaften
QV 500 - QV 560	Arbeitnehmer-Arbeitgeber-Beziehungen. Tariflohnverhandlungen
QV 570 - QV 590	Personalwesen
QV 595 - QV 598	Einzelprobleme
QV 600	Arbeitskampf. Vermittlung und Schlichtung
QV 700	Arbeitsrecht, allgemeine Überblicke. Arbeitsvertrag (siehe vor allem PF)
QW	Hauswirtschaft und privater Verbrauch
QW 000	Allgemeines
QW 100	Geschichte
QW 200	Haushaltslehre
QW 300	Verbrauchsforschung und Verbraucherverhalten
QW 500	Studien zu einzelnen Ländern
QX	Sozialpolitik. Gesundheitswesen. Bildungsökonomie
QX 000	Allgemeines. Soziale Sicherheit
QX 040	Untersuchungen über Armut
QX 100	Geschichte
QX 200	Einkommensverteilungspolitik. Eigentums- und Vermögenspolitik
QX 300	Familienpolitik
QX 400	Altersversorgung
QX 600	Arbeitslosenversicherung und -fürsorge
QX 700 - QX 795	Gesundheitswesen
QX 800 - QX 870	Bildungsökonomie
QX 900 - QX 915	Wohlfahrtswesen, Sozialeinrichtung
QY	Regionale Wirtschaftspolitik. Stadtplanung
QY 000	Allgemeines
QY 100	Geschichte
QY 300	Stadtökonomie
QY 350	Stadtstruktur, Stadtplanung, Stadtentwicklung
QY 500	Wohnungswesen
R	Geografie
RA 1000	Zeitschriften
RB 10000 - RB 10918	Nicht regional gebundene Darstellungen
RB 10000 - RB 10081	Unterlagen für die gesamte Geografie
RB 10103 - RB 10850	Allgemeine Geografie
RB 10853 - RB 10918	Angewandte Geografie
RC - RZ	Regionale Geografie
RC 10000 - RQ 90918	Europa
RR 10000 - RR 77918	Asien (ohne GUS)
RS 10000 - RS 79918	Afrika
RT 10000 - RW 70918	Amerika
RX 10000 - RX 90918	Australien, Neuseeland, Ozeanien
RY 10000 - RY 96918	Allgemeine Landschaftszonen
RZ 10000 - RZ 95918	Meer (Meeresräume)
SA - SP	Mathematik
SA	Referateblätter und Zeitschriften
SA 1000 - SA 1070	Referateblätter
SA 1075	Zeitschriften
SB	Allgemeines
SB 300	Sprachwörterbücher der Mathematik
SB 400	Fachwörterbücher der Mathematik
SB 700	(Bio-)Bibliografische Nachschlagewerke
SB 750	Zeitschriftentitelbibliografien sowie Abkürzungs- und Zitiertitelverzeichnisse mathematischer Zeitschriften
SB 800	Einführung in das Mathematikstudium und die Literaturauswertung im Bereich der Mathematik
SB 820	Richtlinien für die Abfassung und Drucklegung mathematischer Literatur
SB 850	Sonstiges
SC	Enzyklopädien und Handbücher
SC 145	Mathematik-Handbuch für Technik und Naturwissenschaft
SC 200	Bourbaki, Nicolas: Eléments de mathématique
SC 250	Companion Encyclopedia of the History and Philosophy of the Mathematical Sciences
SC 270	CRC concise encyclopedia of mathematics
SC 300	Encyclopaedia of Mathematics
SC 350	Encyclopedia of statistical sciences
SC 380	Enzyklopädie der Elementar-Mathematik
SC 400	Enzyklopädie der mathematischen Wissenschaften
SC 450	Grundzüge der Mathematik
SC 458	Handbook of applicable mathematics
SC 460	Handbook of applied mathematics
SC 464	Handbooks of Mathematics and Computational  Science (Springer)
SC 470	Handbuch der Mathematik. Hrsg. v. L. Kuipers
SC 490	Herder-Lexikon. Mathematik
SC 640	Kleine Enzyklopädie Mathematik
SC 650	Korn, Granino A. u. Theresa M. Korn: Mathematical handbook for scientists and engineers
SC 652	Lexikon der Mathematik
SC 655	Meyers Handbuch über die Mathematik
SC 670	Mathematik für die Praxis
SD	Kongressberichte
SD 1890	Veranstaltungsjahr 1890
SD 1891	Veranstaltungsjahr 1891
SD 1892	Veranstaltungsjahr 1892
SD 1893	Veranstaltungsjahr 1893
SD 1894	Veranstaltungsjahr 1894
SD 1895	Veranstaltungsjahr 1895
SD 1896	Veranstaltungsjahr 1896
SD 1897	Veranstaltungsjahr 1897
SD 1898	Veranstaltungsjahr 1898
SD 1899	Veranstaltungsjahr 1899
SD 1900	Veranstaltungsjahr 1900
SD 1901	Veranstaltungsjahr 1901
SD 1902	Veranstaltungsjahr 1902
SD 1903	Veranstaltungsjahr 1903
SD 1904	Veranstaltungsjahr 1904
SD 1905	Veranstaltungsjahr 1905
SD 1906	Veranstaltungsjahr 1906
SD 1907	Veranstaltungsjahr 1907
SD 1908	Veranstaltungsjahr 1908
SD 1909	Veranstaltungsjahr 1909
SD 1910	Veranstaltungsjahr 1910
SD 1911	Veranstaltungsjahr 1911
SD 1912	Veranstaltungsjahr 1912
SD 1913	Veranstaltungsjahr 1913
SD 1914	Veranstaltungsjahr 1914
SD 1915	Veranstaltungsjahr 1915
SD 1916	Veranstaltungsjahr 1916
SD 1917	Veranstaltungsjahr 1917
SD 1918	Veranstaltungsjahr 1918
SD 1919	Veranstaltungsjahr 1919
SD 1920	Veranstaltungsjahr 1920
SD 1921	Veranstaltungsjahr 1921
SD 1922	Veranstaltungsjahr 1922
SD 1923	Veranstaltungsjahr 1923
SD 1924	Veranstaltungsjahr 1924
SD 1925	Veranstaltungsjahr 1925
SD 1926	Veranstaltungsjahr 1926
SD 1927	Veranstaltungsjahr 1927
SD 1928	Veranstaltungsjahr 1928
SD 1929	Veranstaltungsjahr 1929
SD 1930	Veranstaltungsjahr 1930
SD 1931	Veranstaltungsjahr 1931
SD 1932	Veranstaltungsjahr 1932
SD 1933	Veranstaltungsjahr 1933
SD 1934	Veranstaltungsjahr 1934
SD 1935	Veranstaltungsjahr 1935
SD 1936	Veranstaltungsjahr 1936
SD 1937	Veranstaltungsjahr 1937
SD 1938	Veranstaltungsjahr 1938
SD 1939	Veranstaltungsjahr 1939
SD 1940	Veranstaltungsjahr 1940
SD 1941	Veranstaltungsjahr 1941
SD 1942	Veranstaltungsjahr 1942
SD 1943	Veranstaltungsjahr 1943
SD 1944	Veranstaltungsjahr 1944
SD 1945	Veranstaltungsjahr 1945
SD 1946	Veranstaltungsjahr 1946
SD 1947	Veranstaltungsjahr 1947
SD 1948	Veranstaltungsjahr 1948
SD 1949	Veranstaltungsjahr 1949
SD 1950	Veranstaltungsjahr 1950
SD 1951	Veranstaltungsjahr 1951
SD 1952	Veranstaltungsjahr 1952
SD 1953	Veranstaltungsjahr 1953
SD 1954	Veranstaltungsjahr 1954
SD 1955	Veranstaltungsjahr 1955
SD 1956	Veranstaltungsjahr 1956
SD 1957	Veranstaltungsjahr 1957
SD 1958	Veranstaltungsjahr 1958
SD 1959	Veranstaltungsjahr 1959
SD 1960	Veranstaltungsjahr 1960
SD 1961	Veranstaltungsjahr 1961
SD 1962	Veranstaltungsjahr 1962
SD 1963	Veranstaltungsjahr 1963
SD 1964	Veranstaltungsjahr 1964
SD 1965	Veranstaltungsjahr 1965
SD 1966	Veranstaltungsjahr 1966
SD 1967	Veranstaltungsjahr 1967
SD 1968	Veranstaltungsjahr 1968
SD 1969	Veranstaltungsjahr 1969
SD 1970	Veranstaltungsjahr 1970
SD 1971	Veranstaltungsjahr 1971
SD 1972	Veranstaltungsjahr 1972
SD 1973	Veranstaltungsjahr 1973
SD 1974	Veranstaltungsjahr 1974
SD 1975	Veranstaltungsjahr 1975
SD 1976	Veranstaltungsjahr 1976
SD 1977	Veranstaltungsjahr 1977
SD 1978	Veranstaltungsjahr 1978
SD 1979	Veranstaltungsjahr 1979
SD 1980	Veranstaltungsjahr 1980
SD 1981	Veranstaltungsjahr 1981
SD 1982	Veranstaltungsjahr 1982
SD 1983	Veranstaltungsjahr 1983
SD 1984	Veranstaltungsjahr 1984
SD 1985	Veranstaltungsjahr 1985
SD 1986	Veranstaltungsjahr 1986
SD 1987	Veranstaltungsjahr 1987
SD 1988	Veranstaltungsjahr 1988
SD 1989	Veranstaltungsjahr 1989
SD 1990	Veranstaltungsjahr 1990
SD 1991	Veranstaltungsjahr 1991
SD 1992	Veranstaltungsjahr 1992
SD 1993	Veranstaltungsjahr 1993
SD 1994	Veranstaltungsjahr 1994
SD 1995	Veranstaltungsjahr 1995
SD 1996	Veranstaltungsjahr 1996
SD 1997	Veranstaltungsjahr 1997
SD 1998	Veranstaltungsjahr 1998
SD 1999	Veranstaltungsjahr 1999
SD 2000	Veranstaltungsjahr 2000
SD 2001	Veranstaltungsjahr 2001
SD 2002	Veranstaltungsjahr 2002
SD 2003	Veranstaltungsjahr 2003
SD 2004	Veranstaltungsjahr 2004
SD 2005	Veranstaltungsjahr 2005
SD 2006	Veranstaltungsjahr 2006
SD 2007	Veranstaltungsjahr 2007
SD 2008	Veranstaltungsjahr 2008
SD 2009	Veranstaltungsjahr 2009
SD 2010	Veranstaltungsjahr 2010
SD 2011	Veranstaltungsjahr 2011
SD 2012	Veranstaltungsjahr 2012
SD 2013	Veranstaltungsjahr 2013
SD 2014	Veranstaltungsjahr 2014
SD 2015	Veranstaltungsjahr 2015
SD 2016	Veranstaltungsjahr 2016
SD 2017	Veranstaltungsjahr 2017
SD 2018	Veranstaltungsjahr 2018
SD 2019	Veranstaltungsjahr 2019
SD 2020	Veranstaltungsjahr 2020
SE	Festschriften
SE 110 - SE 399	Festschriften
SF 1000 - SF 9900	Gesammelte Werke
SF 1000 - SF 1150	Autoren A
SF 1170 - SF 1680	Autoren B
SF 1720 - SF 2275	Autoren C
SF 2290 - SF 2540	Autoren D
SF 2557 - SF 2620	Autoren E
SF 2680 - SF 3040	Autoren F
SF 3095 - SF 3420	Autoren G
SF 3460 - SF 4180	Autoren H
SF 4380 - SF 4460	Autoren I
SF 4540 - SF 4660	Autoren J
SF 4670 - SF 4800	Autoren K
SF 4840 - SF 5500	Autoren L
SF 5530 - SF 5900	Autoren M
SF 5920 - SF 6068	Autoren N
SF 6070 - SF 6200	Autoren O
SF 6420 - SF 6790	Autoren P
SF 6980 - SF 7260	Autoren R
SF 7310 - SF 8255	Autoren S
SF 8260 - SF 8465	Autoren T
SF 8470 - SF 8470	Autoren U
SF 8820 - SF 8940	Autoren V
SF 9000 - SF 9460	Autoren W
SF 9660 - SF 9780	Autoren Y
SF 9840 - SF 9860	Autoren Z
SF 9900	Sonstige (CSN)
SG	Biografien, Geschichte und Philosophie der Mathematik
SG 100 - SG 399	Biografien
SG 500 - SG 600	Geschichte der Mathematik
SG 700	Philosophie und Mathematik
SH	Tafeln und Formelsammlungen
SH 100	Bibliografien von Tafeln und Formelsammlungen
SH 300	Sammlungen von Tafeln und Formeln (drei und mehr Bände)
SH 500	Spezielle Tafel- und/oder Formelwerke
SH 700	Logarithmentafeln
SI	Schriftenreihen
SI 109 - SI 805	Schriftenreihen in der Ordnung der Bandzählung
SI 830 - SI 910	Schriftenreihen in der alphabetischen Ordnung nach Verfassern
SI 990	Sonstige (CSN + Bandzählung)
SK	Monografien
SK 110	Übergreifende Literatur (Beiträge über verschiedene Gebiete in einem Band)
SK 130	Logik und Grundlagen, Metamathematik,
SK 150 - SK 160	Mengenlehre und Verbandstheorie
SK 170	Kombinatorik (klassisch)
SK 180	Zahlentheorie
SK 200	Algebra, Allgemeine Lehrbücher, Galois-Theorie, Körpererweiterung
SK 260	Gruppentheorie und Verallgemeinerungen
SK 280	Topologie allgemein Allgemeine Lehrbücher
SK 320	Homologische Algebra, Garbentheorie
SK 340	Topologische Gruppen, Algebraische Topologien und Liesche Theorie, Liesche Gruppe, Lie-Algebra
SK 350	Topologie und Geometrie von Mannigfaltigkeiten, Katastrophentheorie
SK 370	Differentialgeometrie, Tensoranalysis
SK 380	Klassische Geometrie
SK 399	Einführung in die höhere Mathematik
SK 400	Allgemeine Lehrbücher der Analysis
SK 430	Maß- und Integrationstheorie
SK 450	Fourieranalyse und Integraltransformationen
SK 470	Reihen, Folgen, Approximationstheorie,
SK 490	Sonstige Fragen der Analysis
SK 500	Differentialgleichungen (gewöhnliche und partielle in einem Band)
SK 600	Funktionalanalysis
SK 660	Variationsrechnung
SK 680	Spezielle Funktionen
SK 700	Allgemeine Lehrbücher der Funktionentheorie
SK 800	Wahrscheinlichkeitstheorie
SK 870	Lineare und Nichtlineare Optimierung
SK 890	Ganzzahlige und kombinatorische Optimierung, Graphentheorie
SK 900	Numerische Mathematik
SK 950	Mathematische Methoden in den Naturwissenschaften
SK 955	Computational physics
SK 960	Allgemeine Systemtheorie
SK 970	Operations Research
SK 980	Wirtschaftsmathematik, Ökonometrie, Produktionstheorie
SK 990	Mathematik in anderen Wissenschaften
SM	Didaktik der Mathematik, Schulbücher
SM 100	Elementarmathematik
SM 300	Mathematik für Grund- und Hauptschullehrer, Lehrerfortbildung
SM 320 - SM 390	Schulbücher (und Begleithefte für Lehrer und Eltern)
SM 600 - SM 890	Mathematikunterricht
SM 900 - SM 935	Prüfungsvorbereitung
SM 940	Mathematische Preisaufgaben, Internationale Mathematik-Olympiaden
SN	Populäre Mathematik, Unterhaltungsmathematik, mathematische Spiele, Schach
SN 100	Populäre Mathematik, Mathematik für Nichtmathematiker
SN 300	Unterhaltungsmathematik, mathematische Spiele
SN 400	Mathematische Modelle
SN 500 - SN 590	Schach
SN 600	Mathematische Fehlleistungen und Kuriositäten (Kreisquadraturen, vermeintliche Lösungen ungelöster mathematischer Probleme)
SP	Sonderdrucke
SQ - SU	Informatik
SQ	Referateblätter und Zeitschriften
SQ 1000	Referateblätter
SQ 1100	Zeitschriften, Jahresberichte, Jahrbücher
SR	Allgemeines, Organisation, Ausbildung
SR 100	Sprachliche Wörterbücher zur Datenverarbeitung
SR 200	Fachwörterbücher
SR 400	Fachwörterbücher verwandter Gebiete
SR 500	Biografien
SR 600	Bibliografien
SR 700	Adressverzeichnisse
SR 710	Hardware-Kataloge
SR 720	Software-Kataloge
SR 750	Standardisierungsgremien (z.B. W3C)
SR 760	Software-Unternehmen
SR 770	IT-Services, IT infrastructure library
SR 800	Geschichte der Datenverarbeitung
SR 850	Gesellschaftliche Folgen der Datenverarbeitung
SR 860	Organisation der Datenverarbeitung, Rechnerbetrieb (technisch und personell)
SR 870	Datenverarbeitungsprojekte, Projektmanagement
SR 900	Ausbildung und Beruf (Studienführer etc.)
SR 910 - SR 930	Didaktik der Informatik, Allgemein
SR 990	Beziehungen zu anderen Fachgebieten, z.B. Philosophie der Datenverarbeitung
SS	Enzyklopädien und Handbücher. Kongressberichte Schriftenreihe. Tafeln und Formelsammlungen
SS 1000	Enzyklopädien und Handbücher (A-Z)
SS 1800 - SS 2100	Kongressberichte
SS 3000 - SS 3289	Festschriften
SS 4000 - SS 5999	Schriftenreihen (indiv. Sign.)
SS 6000	Tafeln, Formelsammlungen und Tabellen
ST	Monografien
ST 110	Allgemeine Darstellungen (Lehrbücher, Einführungen etc.)
ST 120 - ST 140	Grundlagen der Informatik
ST 150 - ST 199	Technische Informatik
ST 200 - ST 207	Vernetzung, verteilte Systeme
ST 230 - ST 285	Software und -entwicklung
ST 300 - ST 308	Künstliche Intelligenz
ST 320 - ST 690	Einzelne Anwendungen der Datenverarbeitung
SU 100 - SU 500	Populäres, Sonderdrucke
SU 100	Populäre Darstellungen
SU 400	Sonderdrucke in alphabetischer Ordnung
SU 500	Interaktive Unterhaltungssoftware (Computer-, Video- und Konsolenspiele)
SU 670 - SU 740	Dienstprogramme
SU 670	Hewlett Packard
SU 680	IBM
SU 740	Siemens
TA - TD	Allgemeine Naturwissenschaft
TA 1000	Referateblätter und Zeitschriften
TB 1010 - TB 1999	Nachschlagewerke, Bibliografien
TB 1010	Allgemeine Nachschlagewerke des Fachgebietes
TB 1012	Adressbücher von Firmen und Bezugsquellen
TB 1015	Nomenklaturfragen
TB 1020	Einführung in die Literaturbenützung im Bereich der Allgemeinen Naturwissenschaft
TB 1024	Richtlinien für die Abfassung von naturwissenschaftlichen Aufsätzen; Vortragstechnik
TB 1025	Zeitschriftentitelbibliografien allgemeiner naturwissenschaftlicher Zeitschriften
TB 1028	Bibliografien von Dissertationen aus dem Gebiet der Allgemeinen Naturwissenschaft, ihrer Theorie und Geschichte
TB 1030	Laufende Bibliografien aus dem Gebiet der Allgemeinen Naturwissenschaft
TB 1070	Retrospektive (abgeschlossene) Bibliografien und Bibliothekskataloge zum Gesamtgebiet
TB 1100	Sprachwörterbücher für naturwissenschaftliche Terminologie insgesamt und allgemein
TB 1700	Biobibliografische Nachschlagewerke der allgemeinen und gesamten Naturwissenschaften
TB 1710 - TB 1999	Personalbibliografien
TB 2170 - TB 3999	Geschichte, Biografien, Festschriften
TB 2170 - TB 2390	Geschichte der Allgemeinen Naturwissenschaft
TB 2510 - TB 2799	Gesammelte Werke und Schriften einzelner Naturwissenschaftler
TB 2800	Anthologien klassischer Abhandlungen mehrerer Naturwissenschaftler
TB 2810 - TB 3099	Klassische Abhandlungen einzelner Naturwissenschaftler
TB 3100	Biografien mehrerer Naturwissenschaftler (Sammelbiografien)
TB 3110 - TB 3399	Biografien und Autobiografien einzelner Naturwissenschaftler, biografische Materialien, Briefsammlungen, Briefwechsel (Zahlenschlüssel)
TB 3410 - TB 3699	Festschriften und Gedenkschriften für einzelne Naturwissenschaftler
TB 3710 - TB 3999	Festschriften und Gedenkschriften für Körperschaften im Bereich der Naturwissenschaften
TB 4000 - TB 4100	Ausbildung, Didaktik, Organisation, Beruf
TB 4000	Forschungsplanung und ihre Geschichte
TB 4020	Geschichte naturwissenschaftlicher Expeditionen
TB 4050	Ausbildung zum Naturwissenschaftler, Studiengang und ihre Geschichte
TB 4051	Geschlechterforschung in den Naturwissenschaften
TB 4052	Berufsfragen, einschl. Berufsethik und ihre Geschichte
TB 4053 - TB 4098	Didaktik der Allgemeinen Naturwissenschaft
TB 4100	Betriebssicherheit, Schutzmaßnahmen in den Naturwissenschaften
TB 5000	Populäre Darstellungen
TB 6000 - TB 6500	Grenzfragen der Naturwissenschaften
TB 6000	Allgemeines
TB 6100	Naturwissenschaften und Theologie
TB 6200	Naturwissenschaften und Philosophie
TB 6300	Naturwissenschaften und Kunst
TB 6400	Naturwissenschaften und Gesellschaft
TB 6500	Sonstige Beziehungen zu einzelnen Wissensgebieten
TB 9000	Dissertationen, Habilitationsschriften
TC	Lehrbücher und Enzyklopädien aus dem Gesamtgebiet der Naturwissenschaften
TC 1500	Lehrbücher
TC 5000	Enzyklopädien und Lexika
TD	Tagungen, Kongresse, Serien
TD 1000	Periodisch erscheinende Kongressberichte
TD 1800	Einzelkongresse und Tagungen
TD 5000	Serien
TE - TZ	Geowissenschaften
TE 1000	Zeitschriften
TF	Allgemeines
TF 1000 - TF 1400	Nachschlagewerke, Wissenschaftliches Arbeiten
TF 2300 - TF 2430	Geschichte der Geowissenschaften
TF 2500 - TF 2900	Klassische Abhandlungen
TF 3000 - TF 3700	Biografien und Festschriften
TF 4000 - TF 4900	Sonstiges
TF 4999	Dissertationen, Habilitationsschriften
TF 5000 - TF 6800	Tagungen, Kongresse
TF 7300	Serien
TG	Allgemeine Geologie
TG 1000	Allgemeine Geologie: Gesamtdarstellungen
TG 1100 - TG 1180	Allgemeine Geologie: Methoden
